Risk ID,Risk Title,Risk Domain,Risk Statement,Affected Asset,Business Owner,Control Owner,Likelihood,Business Impact,Regulatory Exposure,Risk Score,Severity,Control Maturity,Treatment Decision,Remediation Owner,Due Date,Review Frequency,Escalation Required,Status
IRM-001,Privileged Access Review Gaps,Identity & Access,"If privileged access is not reviewed on a recurring basis, excessive access may persist and increase the likelihood of unauthorized system changes or data access.",Privileged Access Management Process,IT Leadership,IAM Team,2,3,3,2.65,High,2,Mitigate,IAM Manager,2026-06-30,Monthly,Yes,Open
IRM-002,Vendor Security Assessment Delays,Third-Party Risk,"If high-risk vendors are onboarded without timely security assessment, the organization may inherit unmanaged vendor security exposure.",High-Risk Vendor Onboarding,Procurement Leadership,Vendor Risk Team,2,2,3,2.35,High,2,Mitigate,Vendor Risk Analyst,2026-07-15,Monthly,Yes,Open
IRM-003,Incomplete Audit Finding Remediation,Audit Readiness,"If audit findings are not remediated within defined timelines, control deficiencies may persist and weaken audit readiness.",Audit Findings Register,Compliance Leadership,GRC Team,2,2,2,2.00,Moderate,2,Mitigate,GRC Analyst,2026-07-31,Quarterly,Conditional,In Progress
IRM-004,Policy Exception Aging,Policy Compliance,"If approved policy exceptions are not periodically reviewed, temporary risk acceptances may become permanent unmanaged exposure.",Policy Exception Register,Compliance Leadership,GRC Team,2,2,2,2.00,Moderate,2,Review / Reassess,Compliance Analyst,2026-08-15,Quarterly,Conditional,Open
IRM-005,Weak Incident Response Evidence Retention,Incident Response Governance,"If incident response evidence is not centrally retained, the organization may lack defensible records for investigations, audits, and regulatory inquiries.",Incident Response Evidence Repository,Security Leadership,Security Operations,2,2,2,2.00,Moderate,2,Mitigate,Security Operations Lead,2026-08-30,Quarterly,Conditional,Open
IRM-006,Unvalidated Remediation Closure,Issue Management,"If remediation tasks are closed without independent validation, unresolved control gaps may remain hidden from governance reporting.",Remediation Tracking Workflow,GRC Leadership,GRC Team,2,3,2,2.35,High,3,Mitigate,GRC Lead,2026-06-30,Monthly,Yes,Open
IRM-007,Insufficient Executive Risk Reporting,Executive Governance,"If leadership does not receive consistent risk reporting, enterprise risk decisions may be delayed or based on incomplete information.",Executive Risk Dashboard,Executive Leadership,GRC Reporting Team,2,3,2,2.35,High,2,Mitigate,GRC Reporting Lead,2026-07-15,Monthly,Yes,Open
IRM-008,Incomplete Asset-to-Risk Mapping,Asset Governance,"If risks are not mapped to business and technology assets, governance reporting may lack traceability between exposure and business impact.",Business & Technology Asset Inventory,IT Leadership,Asset Owners,2,2,2,2.00,Moderate,2,Mitigate,Asset Governance Lead,2026-09-01,Quarterly,Conditional,Open
IRM-009,Delayed Third-Party Remediation,Third-Party Risk,"If vendor remediation activities are not tracked through governance workflows, unresolved vendor findings may remain unmanaged.",Vendor Remediation Tracker,Procurement Leadership,Vendor Risk Team,2,2,3,2.35,High,2,Mitigate,Vendor Risk Manager,2026-07-31,Monthly,Yes,Open
IRM-010,Control Mapping Inconsistency,Control Governance,"If risks, controls, policies, and issues are not consistently mapped, audit traceability and governance reporting may be incomplete.",Control Mapping Matrix,GRC Leadership,Control Owners,2,2,2,2.00,Moderate,2,Mitigate,GRC Analyst,2026-08-31,Quarterly,Conditional,Open
